,Account,Value
0,Currency,BASE
1,CashBalance,1069867.21
2,TotalCashBalance,1069867.21
3,AccruedCash,0.00
4,StockMarketValue,0.00
5,OptionMarketValue,0.00
6,FutureOptionValue,0.00
7,FuturesPNL,0.00
8,NetLiquidationByCurrency,1069867.21
9,UnrealizedPnL,0.00
10,RealizedPnL,0.00
11,ExchangeRate,1.00
12,FundValue,0.00
13,NetDividend,0.00
14,MutualFundValue,0.00
15,MoneyMarketFundValue,0.00
16,CorporateBondValue,0.00
17,TBondValue,0.00
18,TBillValue,0.00
19,WarrantValue,0.00
20,FxCashBalance,0.00
21,AccountOrGroup,DU3845928
22,RealCurrency,USD
23,IssuerOptionValue,0.00
24,Cryptocurrency,
